ODB Name,Step,Frame,Part Instance Name,    êﬂì_ÉâÉxÉã,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,       S-Mises
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             1,            5.,           -5.,            0.,NA,NA,"",       1.66905,       1.66817,  -54.2548E-03,   70.5240E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             2,            0.,           -5.,            0.,NA,NA,"",       1.75241,       1.74805,  -123.500E-03,   4.34081E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             3,            5.,      -10.0250,            0.,NA,NA,"",       1.17088,       1.16480,   119.179E-03,   14.4541E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             4,            5.,      -15.0500,            0.,NA,NA,"",   713.667E-03,   694.981E-03,   162.239E-03,   5.41775E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             5,            5.,          -20.,            0.,NA,NA,"",   248.956E-03,   237.210E-03,   75.5691E-03,   60.8012E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             6,            0.,          -20.,            0.,NA,NA,"",   155.946E-03,   155.945E-03,  -611.597E-06,   2.59993E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             7,           -5.,          -20.,            0.,NA,NA,"",   237.396E-03,   223.376E-03,  -80.3736E-03,   49.4711E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             8,           -5.,      -14.9750,            0.,NA,NA,"",   688.832E-03,   660.276E-03,  -196.279E-03,   6.54408E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",             9,           -5.,      -9.95000,            0.,NA,NA,"",       1.14672,       1.12730,  -210.133E-03,   9.70985E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            10,           -5.,           -5.,            0.,NA,NA,"",       1.65681,       1.65288,  -113.969E-03,   61.7813E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            11,           15.,          -30.,            0.,NA,NA,"",            0.,   16.9005E-39,  -30.2662E-39,   59.3496E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            12,          -15.,          -30.,            0.,NA,NA,"",            0.,   17.7935E-39,   31.1512E-39,   58.9457E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            13,           15.,        -21.25,            0.,NA,NA,"",   449.680E-03,   285.716E-03,  -347.244E-03,   42.6753E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            14,           15.,         -12.5,            0.,NA,NA,"",       1.12890,   945.127E-03,  -617.367E-03,   13.1734E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            15,           15.,         -3.75,            0.,NA,NA,"",       1.77390,       1.66501,  -611.942E-03,   14.3939E-03
C:/temp/dataset/6/18_18.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",            16,           15.,            5.,            0.,NA,NA,"",       2.15924,       2.08300,  -568.710E-03,   472.677E-06
